date,phev_count,bev_count,ev_total_count
2024-02-29,38656,139210,177866
2024-01-31,38166,136494,174660
2023-12-31,37142,132362,169504
2023-11-30,36533,129084,165617
2023-10-31,35888,125977,161865
2023-09-30,35075,121770,156845
2023-08-31,34177,118232,152409
2023-07-31,33259,112580,145839
2023-06-30,32610,108873,141483
2023-05-31,31716,105147,136863
2023-04-30,30897,101578,132475
2023-03-31,29958,98183,128141
2023-02-28,29278,95576,124854
2023-01-31,28725,93123,121848
2022-12-31,28194,89845,118039
2022-11-30,27772,87493,115265
2022-10-31,27428,84202,111630
2022-09-30,27080,80938,108018
2022-08-31,26746,79472,106218
2022-07-31,26293,77166,103459
2022-06-30,25988,74714,100702
2022-05-31,25477,73032,98509
2022-04-30,25010,71646,96656
2022-03-31,24651,69244,93895
2022-02-28,24197,67646,91843
2022-01-31,23893,66049,89942
2021-12-31,23557,64456,88013
2021-11-30,23278,62954,86232
2021-10-31,22868,61319,84187
2021-09-30,22456,59596,82052
2021-08-31,22129,58397,80526
2021-07-31,21715,56874,78589
2021-06-30,21313,54825,76138
2021-05-31,20725,53706,74431
2021-04-30,20323,52461,72784
2021-03-31,19868,50597,70465
2021-02-28,19512,49774,69286
2021-01-31,19224,48906,68130
2020-12-31,18892,47340,66232
2020-11-30,18602,46542,65144
2020-10-31,18427,45184,63611
2020-09-30,18172,44167,62339
2020-08-31,17961,43598,61559
2020-07-31,17815,43000,60815
2020-06-30,17679,41600,59279
2020-05-31,17579,41338,58917
2020-04-30,17565,41346,58911
2020-03-31,17606,41001,58607
2020-02-29,17465,40268,57733
2020-01-31,17353,39786,57139
2019-12-31,17130,37755,54885
2019-11-30,16960,37102,54062
2019-10-31,16788,36650,53438
2019-09-30,16508,35075,51583
2019-08-31,16276,34309,50585
2019-07-31,16071,33560,49631
2019-06-30,15808,32578,48386
2019-05-31,15559,31747,47306
2019-04-30,15294,31051,46345
2019-03-31,15039,30029,45068
2019-02-28,14891,29688,44579
2019-01-31,14726,29111,43837
2018-12-31,14343,27722,42065
2018-11-30,14020,26781,40801
2018-10-31,13640,25519,39159
2018-09-30,13292,24163,37455
2018-08-31,12963,23578,36541
2018-07-31,12649,22985,35634
2018-06-30,12356,22435,34791
2018-05-31,11933,21702,33635
2018-04-30,11515,20925,32440
2018-03-31,11181,20394,31575
2018-02-28,10834,19977,30811
2018-01-31,10535,19734,30269
2017-12-31,10121,19186,29307
2017-11-30,9889,18878,28767
2017-10-31,9650,18525,28175
2017-09-30,9375,18079,27454
2017-08-31,9148,17679,26827
2017-07-31,8932,17380,26312
2017-06-30,8752,16987,25739
2017-05-31,8498,16569,25067
2017-04-30,8287,16104,24391
2017-03-31,8093,15596,23689
2017-02-28,7889,15206,23095
2017-01-31,7688,14738,22426
